,0,1,2,3,4,5,6,7,8
173,frozenset({'TEC-PH-10000307','OFF-AP-10003849'},,,,,,,
174,frozenset({'OFF-FA-10003485','OFF-AP-10004052'},,,,,,,
175,frozenset({'TEC-PH-10000702','OFF-AP-10004052'},,,,,,,
176,frozenset({'OFF-AP-10004249','OFF-BI-10002353'},,,,,,,
177,frozenset({'OFF-AP-10004249','OFF-FA-10003485'},,,,,,,
178,frozenset({'OFF-AP-10004249','OFF-ST-10004507'},,,,,,,
179,frozenset({'OFF-FA-10003485','OFF-AP-10004708'},,,,,,,
180,frozenset({'OFF-AR-10000122','OFF-BI-10003656'},,,,,,,
181,frozenset({'OFF-FA-10003485','OFF-AR-10000122'},,,,,,,
182,frozenset({'TEC-PH-10000702','OFF-AR-10000122'},,,,,,,
183,frozenset({'OFF-FA-10003485','OFF-AR-10000634'},,,,,,,
184,frozenset({'OFF-LA-10001771','OFF-AR-10000634'},,,,,,,
185,frozenset({'TEC-PH-10004434','OFF-AR-10000634'},,,,,,,
186,frozenset({'OFF-AR-10001374','OFF-AR-10000657'},,,,,,,
187,frozenset({'OFF-AR-10001953','OFF-AR-10000657'},,,,,,,
188,frozenset({'OFF-FA-10003485','OFF-AR-10000657'},,,,,,,
189,frozenset({'OFF-ST-10003816','OFF-AR-10000657'},,,,,,,
190,frozenset({'OFF-AR-10001374','OFF-AR-10001953'},,,,,,,
191,frozenset({'OFF-FA-10003485','OFF-AR-10001374'},,,,,,,
192,frozenset({'OFF-AR-10001374','OFF-ST-10003816'},,,,,,,
193,frozenset({'OFF-AY-10000477','OFF-AR-10001419'},,,,,,,
194,frozenset({'OFF-BI-10002571','OFF-AR-10001419'},,,,,,,
195,frozenset({'OFF-BI-10004209','OFF-AR-10001419'},,,,,,,
196,frozenset({'OFF-FA-10003485','OFF-AR-10001419'},,,,,,,
197,frozenset({'OFF-ST-10001963','OFF-AR-10001419'},,,,,,,
198,frozenset({'OFF-ST-10003996','OFF-AR-10001419'},,,,,,,
199,frozenset({'TEC-AC-10004568','OFF-AR-10001419'},,,,,,,
200,frozenset({'OFF-FA-10003485','OFF-AR-10001953'},,,,,,,
201,frozenset({'OFF-ST-10003816','OFF-AR-10001953'},,,,,,,
202,frozenset({'OFF-AR-10003183','OFF-FA-10003485'},,,,,,,
203,frozenset({'OFF-AR-10003183','OFF-PA-10001804'},,,,,,,
204,frozenset({'OFF-AR-10003183','TEC-MA-10002412'},,,,,,,
205,frozenset({'OFF-AR-10003183','TEC-MA-10003626'},,,,,,,
206,frozenset({'OFF-FA-10003485','OFF-AR-10003481'},,,,,,,
207,frozenset({'OFF-FA-10003485','OFF-AR-10004685'},,,,,,,
208,frozenset({'OFF-AY-10000477','OFF-BI-10002571'},,,,,,,
209,frozenset({'OFF-BI-10004209','OFF-AY-10000477'},,,,,,,
210,frozenset({'OFF-FA-10003485','OFF-AY-10000477'},,,,,,,
211,frozenset({'OFF-ST-10001963','OFF-AY-10000477'},,,,,,,
212,frozenset({'OFF-AY-10000477','OFF-ST-10003996'},,,,,,,
213,frozenset({'TEC-AC-10004568','OFF-AY-10000477'},,,,,,,
214,frozenset({'OFF-FA-10003485','OFF-AY-10002377'},,,,,,,
215,frozenset({'TEC-PH-10002293','OFF-AY-10002377'},,,,,,,
216,frozenset({'OFF-FA-10003485','OFF-BI-10000174'},,,,,,,
217,frozenset({'OFF-BI-10000174','OFF-PA-10000675'},,,,,,,
218,frozenset({'OFF-BI-10000174','OFF-PA-10002666'},,,,,,,
219,frozenset({'OFF-BI-10000174','TEC-PH-10000011'},,,,,,,
220,frozenset({'OFF-FA-10003485','OFF-BI-10000632'},,,,,,,
221,frozenset({'TEC-AC-10002473','OFF-BI-10000632'},,,,,,,
222,frozenset({'OFF-FA-10003485','OFF-BI-10001308'},,,,,,,
223,frozenset({'OFF-BI-10001359','OFF-EN-10003845'},,,,,,,
224,frozenset({'OFF-BI-10001359','OFF-FA-10003485'},,,,,,,
225,frozenset({'OFF-BI-10001359','TEC-AC-10003709'},,,,,,,
226,frozenset({'OFF-EN-10004483','OFF-BI-10002012'},,,,,,,
227,frozenset({'OFF-FA-10003485','OFF-BI-10002012'},,,,,,,
228,frozenset({'OFF-FA-10003485','OFF-BI-10002353'},,,,,,,
229,frozenset({'OFF-BI-10002353','OFF-ST-10004507'},,,,,,,
230,frozenset({'OFF-FA-10003485','OFF-BI-10002437'},,,,,,,
231,frozenset({'OFF-BI-10004209','OFF-BI-10002571'},,,,,,,
232,frozenset({'OFF-FA-10003485','OFF-BI-10002571'},,,,,,,
233,frozenset({'OFF-ST-10001963','OFF-BI-10002571'},,,,,,,
234,frozenset({'OFF-ST-10003996','OFF-BI-10002571'},,,,,,,
235,frozenset({'TEC-AC-10004568','OFF-BI-10002571'},,,,,,,
236,frozenset({'OFF-BI-10003676','OFF-BI-10002609'},,,,,,,
237,frozenset({'OFF-BI-10002609','OFF-EN-10003798'},,,,,,,
238,frozenset({'OFF-FA-10003485','OFF-BI-10002609'},,,,,,,
239,frozenset({'OFF-BI-10002609','OFF-PA-10004735'},,,,,,,
240,frozenset({'OFF-ST-10000642','OFF-BI-10002609'},,,,,,,
241,frozenset({'TEC-PH-10003589','OFF-BI-10002609'},,,,,,,
242,frozenset({'OFF-BI-10002854','OFF-FA-10003485'},,,,,,,
243,frozenset({'OFF-BI-10002854','OFF-ST-10003208'},,,,,,,
244,frozenset({'OFF-BI-10002854','TEC-PH-10004447'},,,,,,,
245,frozenset({'OFF-FA-10003485','OFF-BI-10003350'},,,,,,,
246,frozenset({'OFF-BI-10003350','TEC-CO-10004202'},,,,,,,
247,frozenset({'TEC-PH-10000307','OFF-BI-10003350'},,,,,,,
248,frozenset({'OFF-FA-10003485','OFF-BI-10003656'},,,,,,,
249,frozenset({'TEC-PH-10000702','OFF-BI-10003656'},,,,,,,
250,frozenset({'OFF-BI-10003676','OFF-EN-10003798'},,,,,,,
251,frozenset({'OFF-FA-10003485','OFF-BI-10003676'},,,,,,,
252,frozenset({'OFF-BI-10003676','OFF-PA-10004735'},,,,,,,
253,frozenset({'OFF-ST-10000642','OFF-BI-10003676'},,,,,,,
254,frozenset({'TEC-PH-10003589','OFF-BI-10003676'},,,,,,,
255,frozenset({'OFF-BI-10004209','OFF-FA-10003485'},,,,,,,
256,frozenset({'OFF-BI-10004209','OFF-ST-10001963'},,,,,,,
257,frozenset({'OFF-BI-10004209','OFF-ST-10003996'},,,,,,,
258,frozenset({'OFF-BI-10004209','TEC-AC-10004568'},,,,,,,
259,frozenset({'OFF-BI-10004519','OFF-FA-10003485'},,,,,,,
260,frozenset({'OFF-FA-10003485','OFF-EN-10003798'},,,,,,,
261,frozenset({'OFF-EN-10003798','OFF-PA-10004735'},,,,,,,
262,frozenset({'OFF-ST-10000642','OFF-EN-10003798'},,,,,,,
263,frozenset({'TEC-PH-10003589','OFF-EN-10003798'},,,,,,,
264,frozenset({'OFF-FA-10003485','OFF-EN-10003845'},,,,,,,
265,frozenset({'TEC-AC-10003709','OFF-EN-10003845'},,,,,,,
266,frozenset({'OFF-EN-10004483','OFF-FA-10003485'},,,,,,,
267,frozenset({'OFF-FA-10003485','OFF-EN-10004846'},,,,,,,
268,frozenset({'OFF-PA-10001838','OFF-EN-10004846'},,,,,,,
269,frozenset({'OFF-EN-10004846','OFF-SU-10003567'},,,,,,,
270,frozenset({'TEC-AC-10003038','OFF-EN-10004846'},,,,,,,
271,frozenset({'TEC-PH-10001557','OFF-EN-10004846'},,,,,,,
272,frozenset({'TEC-PH-10001760','OFF-EN-10004846'},,,,,,,
273,frozenset({'OFF-FA-10003485','OFF-LA-10001771'},,,,,,,
274,frozenset({'OFF-FA-10003485','OFF-PA-10000675'},,,,,,,
275,frozenset({'OFF-FA-10003485','OFF-PA-10000726'},,,,,,,
276,frozenset({'OFF-FA-10003485','OFF-PA-10000809'},,,,,,,
277,frozenset({'OFF-FA-10003485','OFF-PA-10001804'},,,,,,,
278,frozenset({'OFF-PA-10001838','OFF-FA-10003485'},,,,,,,
279,frozenset({'OFF-PA-10001870','OFF-FA-10003485'},,,,,,,
280,frozenset({'OFF-FA-10003485','OFF-PA-10002005'},,,,,,,
281,frozenset({'OFF-FA-10003485','OFF-PA-10002036'},,,,,,,
282,frozenset({'OFF-FA-10003485','OFF-PA-10002120'},,,,,,,
283,frozenset({'OFF-FA-10003485','OFF-PA-10002666'},,,,,,,
284,frozenset({'OFF-FA-10003485','OFF-PA-10004675'},,,,,,,
285,frozenset({'OFF-FA-10003485','OFF-PA-10004735'},,,,,,,
286,frozenset({'OFF-ST-10000419','OFF-FA-10003485'},,,,,,,
287,frozenset({'OFF-ST-10000642','OFF-FA-10003485'},,,,,,,
288,frozenset({'OFF-ST-10000760','OFF-FA-10003485'},,,,,,,
289,frozenset({'OFF-FA-10003485','OFF-ST-10001963'},,,,,,,
290,frozenset({'OFF-FA-10003485','OFF-ST-10002301'},,,,,,,
291,frozenset({'OFF-FA-10003485','OFF-ST-10002486'},,,,,,,
292,frozenset({'OFF-FA-10003485','OFF-ST-10003208'},,,,,,,
293,frozenset({'OFF-FA-10003485','OFF-ST-10003816'},,,,,,,
294,frozenset({'OFF-FA-10003485','OFF-ST-10003996'},,,,,,,
295,frozenset({'OFF-FA-10003485','OFF-ST-10004507'},,,,,,,
296,frozenset({'OFF-FA-10003485','OFF-SU-10003567'},,,,,,,
297,frozenset({'OFF-FA-10003485','OFF-SU-10004231'},,,,,,,
298,frozenset({'OFF-FA-10003485','OFF-SU-10004884'},,,,,,,
299,frozenset({'TEC-AC-10002473','OFF-FA-10003485'},,,,,,,
300,frozenset({'TEC-AC-10003038','OFF-FA-10003485'},,,,,,,
301,frozenset({'OFF-FA-10003485','TEC-AC-10003116'},,,,,,,
302,frozenset({'TEC-AC-10003709','OFF-FA-10003485'},,,,,,,
303,frozenset({'TEC-AC-10004568','OFF-FA-10003485'},,,,,,,
304,frozenset({'OFF-FA-10003485','TEC-AC-10004877'},,,,,,,
305,frozenset({'OFF-FA-10003485','TEC-CO-10004202'},,,,,,,
306,frozenset({'TEC-MA-10002412','OFF-FA-10003485'},,,,,,,
307,frozenset({'OFF-FA-10003485','TEC-MA-10003626'},,,,,,,
308,frozenset({'OFF-FA-10003485','TEC-PH-10000011'},,,,,,,
309,frozenset({'OFF-FA-10003485','TEC-PH-10000307'},,,,,,,
310,frozenset({'OFF-FA-10003485','TEC-PH-10000702'},,,,,,,
311,frozenset({'TEC-PH-10001557','OFF-FA-10003485'},,,,,,,
312,frozenset({'TEC-PH-10001760','OFF-FA-10003485'},,,,,,,
313,frozenset({'TEC-PH-10002293','OFF-FA-10003485'},,,,,,,
314,frozenset({'TEC-PH-10003589','OFF-FA-10003485'},,,,,,,
315,frozenset({'OFF-FA-10003485','TEC-PH-10003800'},,,,,,,
316,frozenset({'OFF-FA-10003485','TEC-PH-10004434'},,,,,,,
317,frozenset({'OFF-FA-10003485','TEC-PH-10004447'},,,,,,,
318,frozenset({'OFF-FA-10003485','TEC-PH-10004586'},,,,,,,
319,frozenset({'OFF-LA-10001771','TEC-PH-10004434'},,,,,,,
320,frozenset({'OFF-PA-10002666','OFF-PA-10000675'},,,,,,,
321,frozenset({'TEC-PH-10000011','OFF-PA-10000675'},,,,,,,
322,frozenset({'OFF-PA-10000809','OFF-SU-10004231'},,,,,,,
323,frozenset({'TEC-MA-10002412','OFF-PA-10001804'},,,,,,,
324,frozenset({'TEC-MA-10003626','OFF-PA-10001804'},,,,,,,
325,frozenset({'OFF-PA-10001838','OFF-SU-10003567'},,,,,,,
326,frozenset({'OFF-PA-10001838','TEC-AC-10003038'},,,,,,,
327,frozenset({'OFF-PA-10001838','TEC-PH-10001557'},,,,,,,
328,frozenset({'TEC-PH-10001760','OFF-PA-10001838'},,,,,,,
329,frozenset({'OFF-PA-10001870','OFF-PA-10002036'},,,,,,,
330,frozenset({'TEC-PH-10000011','OFF-PA-10002666'},,,,,,,
331,frozenset({'TEC-PH-10002293','OFF-PA-10004675'},,,,,,,
332,frozenset({'OFF-ST-10000642','OFF-PA-10004735'},,,,,,,
333,frozenset({'TEC-PH-10003589','OFF-PA-10004735'},,,,,,,
334,frozenset({'OFF-ST-10000419','TEC-AC-10004877'},,,,,,,
335,frozenset({'OFF-ST-10000642','TEC-PH-10003589'},,,,,,,
336,frozenset({'OFF-ST-10000760','OFF-ST-10002301'},,,,,,,
337,frozenset({'OFF-ST-10000760','OFF-SU-10004884'},,,,,,,
338,frozenset({'OFF-ST-10001963','OFF-ST-10003996'},,,,,,,
339,frozenset({'TEC-AC-10004568','OFF-ST-10001963'},,,,,,,
340,frozenset({'OFF-SU-10004884','OFF-ST-10002301'},,,,,,,
341,frozenset({'OFF-ST-10003208','TEC-PH-10004447'},,,,,,,
342,frozenset({'TEC-AC-10004568','OFF-ST-10003996'},,,,,,,
343,frozenset({'TEC-AC-10003038','OFF-SU-10003567'},,,,,,,
344,frozenset({'TEC-PH-10001557','OFF-SU-10003567'},,,,,,,
345,frozenset({'TEC-PH-10001760','OFF-SU-10003567'},,,,,,,
346,frozenset({'TEC-PH-10001557','TEC-AC-10003038'},,,,,,,
347,frozenset({'TEC-PH-10001760','TEC-AC-10003038'},,,,,,,
348,frozenset({'TEC-PH-10000307','TEC-CO-10004202'},,,,,,,
349,frozenset({'TEC-MA-10002412','TEC-MA-10003626'},,,,,,,
350,frozenset({'TEC-PH-10001760','TEC-PH-10001557'},,,,,,,
351,frozenset({'OFF-AR-10003183','FUR-FU-10001986','FUR-AZ-10004270'},,,,,,
352,frozenset({'FUR-FU-10001986','OFF-FA-10003485','FUR-AZ-10004270'},,,,,,
353,frozenset({'FUR-FU-10001986','OFF-PA-10001804','FUR-AZ-10004270'},,,,,,
354,frozenset({'TEC-MA-10002412','FUR-FU-10001986','FUR-AZ-10004270'},,,,,,
355,frozenset({'FUR-FU-10001986','TEC-MA-10003626','FUR-AZ-10004270'},,,,,,
356,frozenset({'OFF-AR-10003183','OFF-FA-10003485','FUR-AZ-10004270'},,,,,,
357,frozenset({'OFF-AR-10003183','OFF-PA-10001804','FUR-AZ-10004270'},,,,,,
358,frozenset({'OFF-AR-10003183','TEC-MA-10002412','FUR-AZ-10004270'},,,,,,
359,frozenset({'OFF-AR-10003183','TEC-MA-10003626','FUR-AZ-10004270'},,,,,,
360,frozenset({'OFF-PA-10001804','OFF-FA-10003485','FUR-AZ-10004270'},,,,,,
361,frozenset({'TEC-MA-10002412','OFF-FA-10003485','FUR-AZ-10004270'},,,,,,
362,frozenset({'OFF-FA-10003485','TEC-MA-10003626','FUR-AZ-10004270'},,,,,,
363,frozenset({'TEC-MA-10002412','OFF-PA-10001804','FUR-AZ-10004270'},,,,,,
364,frozenset({'OFF-PA-10001804','TEC-MA-10003626','FUR-AZ-10004270'},,,,,,
365,frozenset({'TEC-MA-10002412','TEC-MA-10003626','FUR-AZ-10004270'},,,,,,
366,frozenset({'FUR-FU-10004666','FUR-CH-10001190','FUR-TA-10001039'},,,,,,
367,frozenset({'FUR-FU-10004666','FUR-CH-10001190','OFF-AP-10004052'},,,,,,
368,frozenset({'FUR-FU-10004666','FUR-CH-10001190','OFF-FA-10003485'},,,,,,
369,frozenset({'FUR-FU-10004666','FUR-CH-10001190','TEC-PH-10000702'},,,,,,
370,frozenset({'FUR-CH-10001190','OFF-AP-10004052','FUR-TA-10001039'},,,,,,
371,frozenset({'FUR-CH-10001190','OFF-FA-10003485','FUR-TA-10001039'},,,,,,
372,frozenset({'FUR-CH-10001190','TEC-PH-10000702','FUR-TA-10001039'},,,,,,
373,frozenset({'FUR-CH-10001190','OFF-FA-10003485','OFF-AP-10004052'},,,,,,
374,frozenset({'FUR-CH-10001190','TEC-PH-10000702','OFF-AP-10004052'},,,,,,
375,frozenset({'FUR-CH-10001190','OFF-FA-10003485','TEC-PH-10000702'},,,,,,
376,frozenset({'FUR-CH-10002073','FUR-FU-10003268','OFF-AP-10001563'},,,,,,
377,frozenset({'OFF-BI-10001359','FUR-CH-10002073','FUR-FU-10003268'},,,,,,
378,frozenset({'FUR-CH-10002073','FUR-FU-10003268','OFF-EN-10003845'},,,,,,
379,frozenset({'OFF-FA-10003485','FUR-CH-10002073','FUR-FU-10003268'},,,,,,
380,frozenset({'TEC-AC-10003709','FUR-CH-10002073','FUR-FU-10003268'},,,,,,
381,frozenset({'OFF-BI-10001359','FUR-CH-10002073','OFF-AP-10001563'},,,,,,
382,frozenset({'FUR-CH-10002073','OFF-AP-10001563','OFF-EN-10003845'},,,,,,
