gender;SeniorCitizen;tenure;PhoneService;Contract;PaymentMethod;MonthlyCharges;TotalCharges;Churn
Female;1;71;Yes;Two year;Credit card (automatic);96;6767;No
Male;1;2;Yes;Month-to-month;Credit card (automatic);96;182;No
Female;0;27;Yes;One year;Mailed check;66;1874;No
Male;0;1;Yes;Month-to-month;Bank transfer (automatic);20;20;No
Male;1;1;Yes;Month-to-month;Bank transfer (automatic);45;45;No
Female;0;72;Yes;Two year;Bank transfer (automatic);100;7252;No
Male;0;5;Yes;Month-to-month;Electronic check;70;317;Yes
Female;0;46;Yes;Month-to-month;Credit card (automatic);75;3548;No
Male;0;34;Yes;Month-to-month;Electronic check;106;3549;Yes
Female;0;11;Yes;Month-to-month;Bank transfer (automatic);98;1105;Yes
Male;0;10;Yes;One year;Mailed check;50;476;No
Female;0;70;Yes;Two year;Credit card (automatic);69;4872;No
Female;0;17;Yes;One year;Mailed check;21;418;No
Female;0;63;Yes;Two year;Credit card (automatic);80;4861;No
Female;0;13;Yes;Month-to-month;Electronic check;76;981;No
Female;0;49;Yes;Month-to-month;Electronic check;85;3907;No
Male;0;2;Yes;Month-to-month;Mailed check;49;97;No
Female;0;2;Yes;Month-to-month;Electronic check;81;144;Yes
Male;0;52;Yes;Two year;Credit card (automatic);80;4218;No
Female;0;69;Yes;Two year;Credit card (automatic);64;4254;No
Female;1;43;Yes;Month-to-month;Electronic check;90;3839;No
Female;0;15;Yes;Month-to-month;Credit card (automatic);99;1426;Yes
Female;1;25;Yes;Month-to-month;Credit card (automatic);70;1753;No
Female;1;8;Yes;Month-to-month;Credit card (automatic);81;633;Yes
Female;1;60;Yes;One year;Credit card (automatic);75;4456;No
Male;1;18;Yes;Month-to-month;Electronic check;95;1753;Yes
Female;0;63;Yes;One year;Credit card (automatic);100;6311;No
Male;1;66;Yes;One year;Electronic check;108;7076;No
Female;0;34;Yes;Two year;Credit card (automatic);25;894;No
Female;0;72;Yes;Two year;Credit card (automatic);108;7854;No
Female;0;47;Yes;Month-to-month;Electronic check;101;4707;No
Male;0;60;Yes;Month-to-month;Bank transfer (automatic);90;5451;No
Male;0;72;No;Two year;Bank transfer (automatic);42;2962;No
Female;0;18;Yes;One year;Credit card (automatic);54;957;No
Female;0;9;Yes;Month-to-month;Electronic check;94;857;Yes
Female;0;3;Yes;Month-to-month;Electronic check;75;244;No
Male;0;47;Yes;One year;Electronic check;79;3650;No
Female;0;31;Yes;Two year;Mailed check;79;2497;No
Female;0;50;Yes;Two year;Bank transfer (automatic);20;931;No
Male;0;10;Yes;Month-to-month;Mailed check;80;887;No
Male;0;1;Yes;Month-to-month;Mailed check;49;49;No
Female;0;52;Yes;One year;Electronic check;20;1091;No
Male;1;64;Yes;Two year;Bank transfer (automatic);112;7099;No
Male;0;62;Yes;Two year;Bank transfer (automatic);24;1425;No
Female;0;3;Yes;Month-to-month;Bank transfer (automatic);65;177;No
Female;1;56;Yes;One year;Electronic check;111;6140;No
Female;0;46;Yes;One year;Credit card (automatic);56;2689;No
Female;0;8;Yes;Month-to-month;Mailed check;55;482;No
Male;1;30;Yes;Month-to-month;Electronic check;75;2111;No
Female;0;45;Yes;One year;Credit card (automatic);26;1217;No
Female;0;1;Yes;Month-to-month;Electronic check;79;79;Yes
Female;0;11;No;Month-to-month;Electronic check;51;565;No
Female;0;7;Yes;Month-to-month;Bank transfer (automatic);75;497;Yes
Female;0;42;Yes;Month-to-month;Bank transfer (automatic);104;4328;No
Female;0;49;Yes;Two year;Bank transfer (automatic);20;973;No
Male;0;9;Yes;Month-to-month;Credit card (automatic);99;919;No
Female;0;35;Yes;One year;Bank transfer (automatic);62;2215;No
Female;0;48;Yes;Two year;Bank transfer (automatic);21;1057;No
Female;0;46;Yes;Two year;Mailed check;20;927;No
Male;0;29;No;Month-to-month;Mailed check;34;1009;No
Male;0;30;Yes;Month-to-month;Bank transfer (automatic);82;2570;No
Male;1;1;Yes;Month-to-month;Electronic check;75;75;No
Male;0;66;Yes;Two year;Mailed check;84;5714;No
Female;0;65;Yes;Month-to-month;Credit card (automatic);111;7107;No
Male;0;72;Yes;Two year;Bank transfer (automatic);101;7459;No
Female;0;12;Yes;Month-to-month;Electronic check;79;927;Yes
Male;0;71;Yes;One year;Credit card (automatic);67;4749;No
Male;0;5;Yes;Month-to-month;Mailed check;21;114;Yes
Male;0;52;Yes;Two year;Bank transfer (automatic);21;1107;No
Female;1;25;Yes;Month-to-month;Electronic check;99;2515;Yes
Male;0;1;Yes;Month-to-month;Mailed check;20;20;No
Female;0;1;Yes;Month-to-month;Electronic check;19;19;No
Male;0;38;Yes;One year;Bank transfer (automatic);95;3606;No
Female;1;66;No;One year;Bank transfer (automatic);46;3027;No
Male;0;68;Yes;Two year;Bank transfer (automatic);110;7612;Yes
Male;0;5;No;Month-to-month;Mailed check;24;100;No
Female;0;72;Yes;One year;Electronic check;104;7303;No
Female;0;32;No;One year;Mailed check;30;928;No
Male;0;43;Yes;One year;Mailed check;94;3921;No
Male;0;72;Yes;Two year;Credit card (automatic);19;1363;No
Male;0;55;Yes;Month-to-month;Electronic check;97;5239;Yes
Female;0;52;Yes;One year;Credit card (automatic);58;3042;No
Female;0;43;Yes;Month-to-month;Electronic check;92;3954;No
Female;1;37;Yes;Month-to-month;Electronic check;77;2868;Yes
Female;0;64;No;Two year;Electronic check;55;3424;No
Male;0;3;Yes;Month-to-month;Electronic check;90;248;No
Female;0;36;No;Two year;Bank transfer (automatic);31;1126;No
Female;0;10;Yes;Month-to-month;Electronic check;100;1065;Yes
Female;0;41;Yes;Two year;Mailed check;21;835;No
Male;0;27;Yes;Month-to-month;Credit card (automatic);85;2152;No
Female;0;56;Yes;One year;Credit card (automatic);100;5515;No
Female;0;6;Yes;Month-to-month;Mailed check;21;113;No
Male;0;3;Yes;Month-to-month;Electronic check;74;230;Yes
Female;0;7;Yes;Month-to-month;Mailed check;51;350;No
Female;0;4;Yes;Month-to-month;Mailed check;21;63;No
Male;0;33;Yes;Two year;Electronic check;89;3028;No
Female;1;27;Yes;Month-to-month;Electronic check;78;2136;Yes
Male;0;72;Yes;Two year;Bank transfer (automatic);24;1724;No
Male;0;1;Yes;Month-to-month;Mailed check;20;20;No
Male;1;71;No;One year;Electronic check;56;3985;No
Female;0;13;Yes;Month-to-month;Electronic check;86;1216;No
Female;0;25;No;Month-to-month;Credit card (automatic);59;1503;Yes
Male;0;67;Yes;Two year;Bank transfer (automatic);51;3260;No
Male;0;1;No;Month-to-month;Electronic check;35;35;Yes
Male;0;2;Yes;Month-to-month;Electronic check;44;81;Yes
Female;0;43;Yes;Two year;Credit card (automatic);26;1188;No
Female;0;23;Yes;Month-to-month;Bank transfer (automatic);75;1779;No
Female;0;64;Yes;Two year;Mailed check;20;1278;No
Male;0;57;Yes;Two year;Mailed check;20;1171;No
Female;1;1;Yes;Month-to-month;Mailed check;70;70;Yes
Female;1;72;Yes;Two year;Credit card (automatic);88;6426;No
Female;0;8;Yes;Month-to-month;Electronic check;71;564;Yes
Female;0;61;Yes;Two year;Bank transfer (automatic);101;5971;No
Male;0;64;Yes;One year;Credit card (automatic);84;5289;No
Male;1;71;Yes;Two year;Bank transfer (automatic);24;1756;No
Female;0;65;Yes;Two year;Credit card (automatic);99;6417;No
Male;0;3;Yes;One year;Mailed check;20;61;No
Male;0;1;Yes;Month-to-month;Electronic check;46;46;Yes
Male;0;30;Yes;One year;Credit card (automatic);65;1930;No
Male;0;15;Yes;Month-to-month;Mailed check;70;1071;No
Female;0;8;Yes;Month-to-month;Electronic check;69;564;No
Male;0;7;Yes;Month-to-month;Mailed check;95;656;Yes
Female;0;70;Yes;One year;Credit card (automatic);108;7931;No
Male;0;62;Yes;Two year;Electronic check;86;5215;No
Female;0;6;Yes;Month-to-month;Mailed check;20;114;No
Female;0;14;Yes;Month-to-month;Bank transfer (automatic);81;1153;No
Female;0;22;Yes;Month-to-month;Bank transfer (automatic);84;1822;No
Male;0;22;Yes;One year;Mailed check;20;420;No
Male;0;16;Yes;Two year;Mailed check;64;1024;No
Male;0;10;Yes;Two year;Bank transfer (automatic);26;252;No
Female;0;13;Yes;Month-to-month;Electronic check;56;765;No
Female;0;20;Yes;Month-to-month;Electronic check;82;1592;Yes
Female;0;2;Yes;Month-to-month;Electronic check;70;135;No
Male;0;53;Yes;Two year;Bank transfer (automatic);74;3958;No
Female;0;11;Yes;One year;Mailed check;21;234;No
Male;0;69;Yes;Two year;Mailed check;20;1363;No
Female;0;4;Yes;Month-to-month;Bank transfer (automatic);71;273;Yes
Male;0;72;Yes;Two year;Bank transfer (automatic);89;6254;No
Male;1;58;No;Month-to-month;Electronic check;45;2651;Yes
Female;0;16;Yes;Month-to-month;Electronic check;20;321;No
Male;0;43;Yes;One year;Bank transfer (automatic);84;3539;No
Female;0;2;Yes;Month-to-month;Electronic check;104;243;Yes
Male;0;14;Yes;Two year;Mailed check;82;1182;No
Female;0;53;Yes;One year;Bank transfer (automatic);95;5000;Yes
Female;0;32;Yes;One year;Bank transfer (automatic);21;655;No
Female;0;34;Yes;Month-to-month;Electronic check;25;780;No
Female;1;15;Yes;Month-to-month;Mailed check;74;1146;Yes
Female;1;7;Yes;Month-to-month;Bank transfer (automatic);76;504;Yes
Female;0;15;Yes;Month-to-month;Bank transfer (automatic);105;1559;No
Male;0;61;Yes;One year;Credit card (automatic);21;1252;No
Female;0;1;No;Month-to-month;Bank transfer (automatic);30;30;Yes
Female;0;1;Yes;Month-to-month;Mailed check;45;45;No
Male;0;8;Yes;Month-to-month;Bank transfer (automatic);85;663;Yes
Male;0;33;Yes;One year;Credit card (automatic);75;2453;No
Female;0;13;Yes;Month-to-month;Electronic check;79;1112;Yes
Female;0;1;No;Month-to-month;Electronic check;25;25;Yes
Male;0;20;Yes;Month-to-month;Mailed check;52;1024;No
Male;0;3;No;Month-to-month;Electronic check;30;82;No
Female;0;13;Yes;One year;Electronic check;20;245;No
Female;0;40;Yes;Month-to-month;Credit card (automatic);57;2379;No
Male;0;43;Yes;One year;Credit card (automatic);72;3173;No
Male;0;6;Yes;Month-to-month;Electronic check;91;531;Yes
Female;0;69;Yes;Two year;Bank transfer (automatic);20;1375;No
Female;0;72;Yes;Two year;Credit card (automatic);110;8129;No
Male;0;59;Yes;Two year;Credit card (automatic);19;1193;No
Female;0;20;Yes;Month-to-month;Electronic check;97;1902;No
Male;0;24;Yes;Two year;Bank transfer (automatic);24;587;No
Male;0;59;Yes;Month-to-month;Electronic check;111;6520;No
Male;0;72;Yes;Two year;Bank transfer (automatic);112;8042;No
Male;0;1;Yes;Month-to-month;Mailed check;21;21;No
Female;0;27;Yes;One year;Credit card (automatic);102;2681;No
Female;0;14;Yes;Month-to-month;Credit card (automatic);80;1112;No
Male;0;71;Yes;Two year;Electronic check;106;7406;No
Male;0;13;Yes;Month-to-month;Credit card (automatic);78;1034;No
Male;0;44;Yes;Month-to-month;Credit card (automatic);69;2959;No
Female;0;33;Yes;One year;Bank transfer (automatic);80;2685;No
Male;0;72;No;Two year;Credit card (automatic);55;4179;No
Male;0;1;Yes;Month-to-month;Electronic check;80;80;Yes
Female;0;19;Yes;Month-to-month;Electronic check;107;1934;Yes
Male;0;64;Yes;One year;Credit card (automatic);102;6654;No
Male;0;2;Yes;Month-to-month;Credit card (automatic);46;85;Yes
Female;0;1;No;Month-to-month;Electronic check;25;25;No
Male;0;61;Yes;Two year;Mailed check;20;1124;No
Female;0;29;Yes;One year;Electronic check;20;540;No
Male;1;23;Yes;Month-to-month;Electronic check;87;1976;No
Female;0;57;No;Month-to-month;Bank transfer (automatic);59;3437;No
Male;0;72;No;Two year;Credit card (automatic);45;3140;No
Male;0;66;No;Two year;Bank transfer (automatic);57;3789;No
Male;0;65;Yes;Two year;Bank transfer (automatic);84;5325;No
Female;0;8;Yes;Month-to-month;Bank transfer (automatic);80;625;No
Female;0;4;Yes;Month-to-month;Electronic check;70;268;Yes
Female;0;71;Yes;Two year;Bank transfer (automatic);25;1837;No
Male;0;1;Yes;One year;Electronic check;20;20;No
Male;0;4;Yes;Month-to-month;Mailed check;50;179;Yes
Female;0;12;Yes;One year;Bank transfer (automatic);19;219;No
Male;0;24;No;One year;Mailed check;51;1289;No
Female;0;31;Yes;One year;Mailed check;81;2546;No
Female;0;1;Yes;Month-to-month;Mailed check;55;55;Yes
Male;0;30;Yes;Month-to-month;Credit card (automatic);90;2723;No
Female;0;47;Yes;Two year;Credit card (automatic);85;4107;No
Male;0;54;Yes;Two year;Credit card (automatic);108;5761;No
Male;0;50;Yes;Month-to-month;Credit card (automatic);94;4748;No
Male;0;1;Yes;Month-to-month;Mailed check;85;85;Yes
Female;0;72;Yes;Two year;Credit card (automatic);20;1567;No
Female;0;29;Yes;Month-to-month;Electronic check;25;702;No
Male;0;2;Yes;Month-to-month;Mailed check;54;114;Yes
Female;0;10;No;Two year;Mailed check;30;299;No
Male;0;18;Yes;Month-to-month;Electronic check;73;1306;No
Female;1;11;Yes;Month-to-month;Electronic check;95;1120;Yes
Male;0;16;Yes;Two year;Mailed check;20;284;No
Female;0;72;Yes;Two year;Bank transfer (automatic);87;6351;No
Male;0;72;Yes;Two year;Bank transfer (automatic);109;7878;No
Female;0;41;Yes;One year;Credit card (automatic);75;3188;No
Female;1;65;Yes;Month-to-month;Electronic check;94;6126;No
Female;1;13;Yes;Month-to-month;Electronic check;55;731;No
Male;1;4;Yes;Month-to-month;Electronic check;75;273;No
Male;0;41;Yes;One year;Mailed check;65;2532;No
Male;1;15;Yes;Month-to-month;Electronic check;74;1074;Yes
Male;0;1;Yes;Month-to-month;Mailed check;49;49;Yes
Male;0;42;Yes;One year;Electronic check;99;4298;No
Female;0;51;Yes;One year;Electronic check;94;4620;No
Female;0;2;Yes;Month-to-month;Electronic check;70;147;Yes
Male;1;1;No;Month-to-month;Electronic check;40;40;Yes
Male;0;32;Yes;One year;Credit card (automatic);84;2633;No
Male;0;10;Yes;Month-to-month;Mailed check;20;193;No
Female;0;67;No;Two year;Electronic check;60;4104;No
Female;0;61;Yes;Two year;Credit card (automatic);115;7008;No
Male;0;50;Yes;One year;Credit card (automatic);114;5791;No
Female;0;2;Yes;Month-to-month;Credit card (automatic);45;81;Yes
Female;1;29;No;Month-to-month;Electronic check;45;1229;No
Male;1;3;No;Month-to-month;Electronic check;41;132;Yes
Male;1;13;Yes;Month-to-month;Electronic check;107;1364;Yes
Male;1;57;Yes;Month-to-month;Electronic check;90;4925;No
Female;0;31;No;Two year;Bank transfer (automatic);50;1520;No
Female;0;45;Yes;One year;Mailed check;113;5032;No
Female;0;61;Yes;Two year;Mailed check;88;5527;No
Male;0;50;Yes;Two year;Bank transfer (automatic);25;1195;No
Female;1;19;Yes;Month-to-month;Mailed check;105;2007;No
Male;0;59;Yes;Two year;Mailed check;19;1100;Yes
Female;0;71;Yes;Two year;Credit card (automatic);24;1733;No
Female;1;16;Yes;Month-to-month;Electronic check;94;1511;Yes
Male;0;57;Yes;Two year;Electronic check;60;3450;No
Male;0;1;No;Month-to-month;Bank transfer (automatic);25;25;Yes
Male;1;20;Yes;Month-to-month;Electronic check;107;2172;No
Male;0;1;Yes;Month-to-month;Mailed check;71;71;Yes
Male;0;5;Yes;Month-to-month;Electronic check;85;401;Yes
Female;0;52;Yes;Month-to-month;Electronic check;105;5625;Yes
Male;1;21;Yes;Month-to-month;Bank transfer (automatic);65;1340;No
Male;0;14;No;Month-to-month;Electronic check;55;772;No
Female;0;5;Yes;Month-to-month;Bank transfer (automatic);51;245;No
Female;0;6;Yes;Month-to-month;Mailed check;55;323;No
Female;0;10;Yes;Month-to-month;Electronic check;51;498;No
Female;0;1;Yes;Month-to-month;Mailed check;25;25;No
Female;0;68;Yes;Month-to-month;Mailed check;54;3688;No
Male;0;18;Yes;Month-to-month;Mailed check;95;1780;Yes
Female;0;22;Yes;One year;Credit card (automatic);76;1784;No
Female;0;20;Yes;Month-to-month;Electronic check;44;927;No
Male;0;1;Yes;Month-to-month;Electronic check;70;70;Yes
Male;1;8;Yes;Month-to-month;Electronic check;75;607;Yes
Male;0;10;Yes;Month-to-month;Credit card (automatic);45;435;Yes
Male;1;24;Yes;Month-to-month;Electronic check;76;1713;Yes
Male;0;35;Yes;One year;Mailed check;61;2021;No
Male;0;23;Yes;One year;Mailed check;87;1941;No
Female;1;6;Yes;Month-to-month;Electronic check;89;568;No
Female;0;12;Yes;Month-to-month;Mailed check;20;220;No
Male;0;1;Yes;Month-to-month;Mailed check;20;20;No
Female;0;71;Yes;Two year;Electronic check;76;5436;No
Male;1;35;Yes;Month-to-month;Electronic check;101;3438;No
Male;0;40;Yes;Month-to-month;Electronic check;75;3016;No
Female;0;1;Yes;Month-to-month;Mailed check;74;74;Yes
Male;0;23;Yes;One year;Bank transfer (automatic);65;1510;No
Female;1;4;Yes;Month-to-month;Electronic check;95;396;Yes
Male;0;4;Yes;Month-to-month;Electronic check;90;357;No
Female;0;68;No;Two year;Credit card (automatic);60;4109;No
Male;0;38;Yes;Month-to-month;Mailed check;82;3142;No
Male;0;52;Yes;Two year;Mailed check;25;1229;No
Male;1;32;Yes;Month-to-month;Electronic check;75;2303;Yes
Male;0;29;Yes;Two year;Mailed check;76;2054;No
Male;1;38;Yes;Month-to-month;Electronic check;101;3742;No
Male;0;48;Yes;One year;Credit card (automatic);79;3682;No
Female;0;1;Yes;Month-to-month;Bank transfer (automatic);19;19;No
Female;0;22;Yes;Month-to-month;Electronic check;89;1886;No
Female;0;43;Yes;Two year;Credit card (automatic);115;4895;No
Female;1;5;Yes;Month-to-month;Electronic check;69;342;No
Male;0;5;Yes;Month-to-month;Electronic check;81;416;Yes
Male;0;51;Yes;One year;Credit card (automatic);110;5686;No
Male;0;71;Yes;Two year;Credit card (automatic);20;1355;No
Female;0;38;Yes;One year;Credit card (automatic);80;3059;Yes
Male;1;24;Yes;Month-to-month;Electronic check;93;2231;Yes
Male;0;35;Yes;Month-to-month;Credit card (automatic);92;3236;No
Female;1;54;Yes;One year;Bank transfer (automatic);82;4350;Yes
Female;0;72;No;Two year;Electronic check;60;4264;No
Male;0;1;Yes;Month-to-month;Electronic check;45;45;No
Female;0;9;Yes;One year;Mailed check;49;422;No
Male;0;69;No;Two year;Bank transfer (automatic);60;4177;No
Female;0;52;Yes;Month-to-month;Credit card (automatic);103;5138;No
Female;1;11;Yes;Month-to-month;Electronic check;83;880;No
Female;1;2;Yes;Month-to-month;Electronic check;70;139;Yes
Female;1;28;No;Month-to-month;Electronic check;36;974;No
Female;1;17;Yes;Month-to-month;Credit card (automatic);83;1470;No
Female;0;35;Yes;Two year;Mailed check;20;739;No
Female;0;8;Yes;One year;Mailed check;19;162;No
Male;0;46;Yes;One year;Credit card (automatic);95;4423;No
Female;0;7;Yes;Month-to-month;Electronic check;74;511;Yes
Female;0;2;Yes;Month-to-month;Mailed check;81;156;Yes
Male;0;68;Yes;One year;Bank transfer (automatic);76;5294;Yes
Female;0;43;Yes;Two year;Electronic check;105;4760;Yes
Female;0;68;Yes;Two year;Electronic check;88;6148;No
Female;0;36;Yes;Month-to-month;Credit card (automatic);95;3566;No
Male;0;63;Yes;Month-to-month;Electronic check;103;6603;Yes
Female;1;32;Yes;Month-to-month;Bank transfer (automatic);55;1830;No
Female;0;71;Yes;Two year;Credit card (automatic);86;6224;No
Female;0;66;Yes;Month-to-month;Bank transfer (automatic);67;4509;No
Male;0;63;Yes;One year;Mailed check;21;1328;No
Female;0;41;Yes;One year;Credit card (automatic);20;865;No
Female;1;1;Yes;Month-to-month;Electronic check;72;72;No
Female;0;2;Yes;Month-to-month;Electronic check;90;168;Yes
Female;0;70;Yes;Two year;Bank transfer (automatic);19;1304;No
Female;0;23;No;Month-to-month;Electronic check;45;997;No
Female;1;64;Yes;One year;Bank transfer (automatic);97;6431;No
Male;0;37;Yes;Two year;Credit card (automatic);63;2279;No
Male;0;17;Yes;One year;Mailed check;45;681;No
Female;1;7;Yes;Month-to-month;Electronic check;89;574;No
Male;0;4;Yes;Month-to-month;Bank transfer (automatic);85;372;Yes
Female;1;21;No;Month-to-month;Electronic check;42;840;Yes
Female;0;10;Yes;Month-to-month;Bank transfer (automatic);80;846;Yes
Female;1;16;Yes;Month-to-month;Electronic check;54;889;No
Male;0;64;Yes;Two year;Electronic check;105;6823;No
Male;1;27;No;Month-to-month;Credit card (automatic);31;805;Yes
Male;0;42;Yes;One year;Electronic check;97;4017;No
Male;0;5;Yes;Month-to-month;Mailed check;20;84;No
Female;0;41;Yes;Two year;Bank transfer (automatic);99;3959;No
Male;0;58;Yes;One year;Credit card (automatic);50;2879;No
Female;0;47;Yes;Two year;Mailed check;21;946;No
Male;0;18;Yes;Month-to-month;Bank transfer (automatic);76;1373;No
Male;0;5;Yes;Month-to-month;Bank transfer (automatic);97;493;Yes
Male;0;23;Yes;Month-to-month;Bank transfer (automatic);60;1406;No
Female;0;1;Yes;Month-to-month;Mailed check;19;19;No
Male;0;71;Yes;One year;Credit card (automatic);99;6963;No
Male;0;72;Yes;Two year;Credit card (automatic);113;8127;No
Male;0;33;Yes;One year;Mailed check;21;690;No
Male;0;2;Yes;Month-to-month;Electronic check;86;182;Yes
Male;0;24;No;Two year;Mailed check;36;831;No
Female;0;56;Yes;One year;Credit card (automatic);100;5608;No
Male;0;37;Yes;Month-to-month;Credit card (automatic);96;3647;No
Female;0;43;Yes;One year;Credit card (automatic);85;3662;No
Male;0;1;No;Month-to-month;Mailed check;25;25;No
Female;0;25;Yes;Month-to-month;Bank transfer (automatic);105;2567;Yes
Female;0;61;Yes;Two year;Electronic check;90;5309;No
Male;0;17;Yes;One year;Electronic check;87;1410;No
Female;0;41;Yes;One year;Bank transfer (automatic);86;3339;No
Male;0;1;Yes;Month-to-month;Mailed check;51;51;Yes
Male;1;72;No;Two year;Bank transfer (automatic);65;4732;No
Male;0;1;Yes;Month-to-month;Credit card (automatic);91;91;Yes
Male;0;48;Yes;Two year;Bank transfer (automatic);108;5067;No
Male;1;11;Yes;Month-to-month;Mailed check;20;215;Yes
Female;1;55;Yes;Month-to-month;Electronic check;85;4875;Yes
Female;0;42;No;One year;Electronic check;55;2348;No
Male;0;44;Yes;Month-to-month;Mailed check;90;4063;No
Male;0;1;Yes;Month-to-month;Electronic check;44;44;No
Female;0;27;Yes;Month-to-month;Bank transfer (automatic);96;2595;No
Male;1;27;Yes;Month-to-month;Bank transfer (automatic);85;2310;No
Female;1;2;Yes;Month-to-month;Electronic check;44;89;No
Female;0;19;Yes;Month-to-month;Mailed check;20;368;No
Female;1;42;Yes;Month-to-month;Electronic check;95;3945;No
Female;0;66;Yes;Two year;Credit card (automatic);90;5966;No
Male;1;33;Yes;Month-to-month;Bank transfer (automatic);110;3695;No
Female;0;34;Yes;Month-to-month;Credit card (automatic);74;2524;Yes
Male;1;33;No;Month-to-month;Electronic check;55;1804;No
Female;0;23;Yes;One year;Mailed check;20;415;No
Female;0;32;Yes;One year;Bank transfer (automatic);20;624;No
Female;0;11;Yes;One year;Credit card (automatic);20;238;No
Male;0;69;Yes;Month-to-month;Credit card (automatic);99;7008;Yes
Female;0;68;Yes;One year;Bank transfer (automatic);56;3849;No
Male;0;20;Yes;Two year;Mailed check;20;419;No
Male;0;72;Yes;Two year;Credit card (automatic);20;1469;No
Male;0;60;Yes;One year;Bank transfer (automatic);95;5812;No
Male;1;32;Yes;Month-to-month;Mailed check;94;2861;No
Female;0;1;Yes;Month-to-month;Mailed check;20;20;Yes
Male;0;1;Yes;Month-to-month;Mailed check;20;20;Yes
Male;1;3;Yes;Month-to-month;Electronic check;81;234;Yes
Female;0;46;Yes;One year;Bank transfer (automatic);24;1066;No
Female;0;29;Yes;Month-to-month;Electronic check;75;2149;No
Male;0;51;Yes;Month-to-month;Electronic check;87;4473;No
Female;1;48;Yes;Month-to-month;Bank transfer (automatic);71;3545;No
Female;0;16;Yes;Month-to-month;Bank transfer (automatic);73;1196;No
Male;0;70;Yes;Two year;Bank transfer (automatic);99;6859;No
Female;0;40;Yes;Two year;Mailed check;25;1025;No
Female;0;22;Yes;Month-to-month;Electronic check;83;1846;Yes
Female;1;1;Yes;Month-to-month;Bank transfer (automatic);75;75;Yes
Female;0;5;Yes;Month-to-month;Mailed check;24;132;No
Female;0;7;Yes;Month-to-month;Bank transfer (automatic);70;515;No
Male;0;29;Yes;One year;Credit card (automatic);101;2830;No
Male;0;44;Yes;One year;Mailed check;26;1111;No
Female;0;10;No;Month-to-month;Bank transfer (automatic);41;449;No
Female;1;55;Yes;Month-to-month;Bank transfer (automatic);52;2839;No
Male;1;52;Yes;One year;Bank transfer (automatic);105;5376;No
Female;0;10;Yes;Month-to-month;Electronic check;86;859;No
Male;0;18;Yes;Month-to-month;Bank transfer (automatic);76;1395;No
Female;0;68;Yes;One year;Bank transfer (automatic);58;3976;No
Female;0;61;Yes;Month-to-month;Mailed check;19;1183;Yes
Female;0;72;No;Two year;Credit card (automatic);65;4784;No
Male;0;2;Yes;Month-to-month;Electronic check;53;120;No
Male;0;12;Yes;Month-to-month;Bank transfer (automatic);45;519;Yes
Male;0;41;Yes;Two year;Electronic check;20;899;No
Female;0;26;No;Month-to-month;Credit card (automatic);44;1184;No
Male;0;36;Yes;One year;Bank transfer (automatic);21;720;No
Male;0;72;Yes;Two year;Credit card (automatic);114;8468;No
Male;0;35;Yes;Month-to-month;Bank transfer (automatic);90;3161;No
Male;0;1;Yes;Month-to-month;Mailed check;55;55;No
Female;0;16;Yes;Month-to-month;Electronic check;113;1883;No
Female;1;49;Yes;Month-to-month;Credit card (automatic);102;5070;No
Female;0;54;Yes;One year;Mailed check;115;6050;No
Female;0;18;Yes;Month-to-month;Electronic check;65;1167;No
Female;0;36;Yes;Month-to-month;Electronic check;80;2938;No
